SUM(OrderQty),Name,ProductID,OrderDate
251,"AWC Logo Cap",712,"2013-10-30 00:00:00"
246,"Classic Vest, S",864,"2014-03-01 00:00:00"
246,"Women's Mountain Shorts, L",869,"2014-05-01 00:00:00"
245,"Long-Sleeve Logo Jersey, L",715,"2012-09-30 00:00:00"
244,"AWC Logo Cap",712,"2013-03-30 00:00:00"
244,"Long-Sleeve Logo Jersey, L",715,"2013-10-30 00:00:00"
243,"Sport-100 Helmet, Blue",711,"2012-06-30 00:00:00"
243,"Men's Bib-Shorts, M",856,"2012-06-30 00:00:00"
243,"Short-Sleeve Classic Jersey, XL",884,"2013-08-30 00:00:00"
242,"Bike Wash - Dissolver",877,"2014-05-01 00:00:00"
242,"Sport-100 Helmet, Red",707,"2013-06-30 00:00:00"
241,"Long-Sleeve Logo Jersey, L",715,"2014-05-01 00:00:00"
241,"Short-Sleeve Classic Jersey, XL",884,"2014-03-01 00:00:00"
239,"Long-Sleeve Logo Jersey, M",714,"2013-06-30 00:00:00"
238,"Sport-100 Helmet, Black",708,"2012-06-30 00:00:00"
237,"Water Bottle - 30 oz.",870,"2013-05-30 00:00:00"
236,"Women's Mountain Shorts, L",869,"2013-10-30 00:00:00"
235,"Classic Vest, S",864,"2013-12-31 00:00:00"
235,"Sport-100 Helmet, Blue",711,"2013-05-30 00:00:00"
234,"Short-Sleeve Classic Jersey, S",881,"2013-06-30 00:00:00"
234,"Women's Tights, S",852,"2012-09-30 00:00:00"
234,"Full-Finger Gloves, L",863,"2013-02-28 00:00:00"
234,"Full-Finger Gloves, L",863,"2013-04-30 00:00:00"
233,"Full-Finger Gloves, M",862,"2013-03-30 00:00:00"
233,"Water Bottle - 30 oz.",870,"2014-05-01 00:00:00"
232,"Short-Sleeve Classic Jersey, L",883,"2013-10-30 00:00:00"
231,"Racing Socks, L",875,"2013-09-30 00:00:00"
230,"Bike Wash - Dissolver",877,"2013-09-30 00:00:00"
230,"AWC Logo Cap",712,"2012-07-31 00:00:00"
228,"Women's Tights, L",854,"2012-09-30 00:00:00"
227,"Women's Mountain Shorts, L",869,"2013-08-30 00:00:00"
227,"Racing Socks, L",875,"2013-07-31 00:00:00"
227,"Bike Wash - Dissolver",877,"2013-05-30 00:00:00"
227,"Short-Sleeve Classic Jersey, L",883,"2013-05-30 00:00:00"
226,"Bike Wash - Dissolver",877,"2013-10-30 00:00:00"
226,"Men's Bib-Shorts, M",856,"2012-07-31 00:00:00"
226,"AWC Logo Cap",712,"2014-05-01 00:00:00"
225,"Sport-100 Helmet, Black",708,"2013-05-30 00:00:00"
225,"Sport-100 Helmet, Blue",711,"2013-10-30 00:00:00"
225,"Long-Sleeve Logo Jersey, L",715,"2013-03-30 00:00:00"
225,"Women's Tights, S",852,"2012-07-31 00:00:00"
224,"Short-Sleeve Classic Jersey, S",881,"2013-07-31 00:00:00"
224,"Sport-100 Helmet, Red",707,"2013-05-30 00:00:00"
224,"AWC Logo Cap",712,"2012-09-30 00:00:00"
223,"Full-Finger Gloves, L",863,"2012-08-30 00:00:00"
223,"Classic Vest, M",865,"2013-05-30 00:00:00"
223,"Women's Mountain Shorts, L",869,"2014-01-29 00:00:00"
223,"Racing Socks, L",875,"2014-03-31 00:00:00"
222,"Women's Mountain Shorts, L",869,"2013-05-30 00:00:00"
221,"Sport-100 Helmet, Blue",711,"2014-03-31 00:00:00"
221,"Hitch Rack - 4-Bike",876,"2013-05-30 00:00:00"
220,"Women's Mountain Shorts, L",869,"2014-03-01 00:00:00"
220,"Sport-100 Helmet, Black",708,"2013-10-30 00:00:00"
220,"AWC Logo Cap",712,"2012-10-30 00:00:00"
218,"Short-Sleeve Classic Jersey, L",883,"2013-09-30 00:00:00"
218,"Full-Finger Gloves, M",862,"2012-09-30 00:00:00"
215,"AWC Logo Cap",712,"2012-05-30 00:00:00"
214,"Sport-100 Helmet, Red",707,"2012-06-30 00:00:00"
214,"Long-Sleeve Logo Jersey, L",715,"2012-05-30 00:00:00"
214,"Women's Mountain Shorts, S",867,"2013-12-31 00:00:00"
213,"Sport-100 Helmet, Blue",711,"2014-05-01 00:00:00"
212,"Sport-100 Helmet, Black",708,"2014-05-01 00:00:00"
212,"AWC Logo Cap",712,"2014-03-01 00:00:00"
212,"Long-Sleeve Logo Jersey, M",714,"2012-06-30 00:00:00"
212,"Long-Sleeve Logo Jersey, L",715,"2012-10-30 00:00:00"
211,"Sport-100 Helmet, Black",708,"2014-03-31 00:00:00"
211,"Long-Sleeve Logo Jersey, M",714,"2013-07-31 00:00:00"
210,"Long-Sleeve Logo Jersey, L",715,"2014-03-31 00:00:00"
209,"Women's Tights, L",854,"2013-03-30 00:00:00"
208,"Racing Socks, L",875,"2014-05-01 00:00:00"
208,"Hydration Pack - 70 oz.",880,"2014-05-01 00:00:00"
207,"Water Bottle - 30 oz.",870,"2013-08-30 00:00:00"
206,"Long-Sleeve Logo Jersey, L",715,"2014-03-01 00:00:00"
205,"Women's Tights, L",854,"2013-04-30 00:00:00"
205,"Short-Sleeve Classic Jersey, XL",884,"2014-01-29 00:00:00"
204,"Bike Wash - Dissolver",877,"2014-03-31 00:00:00"
202,"Women's Tights, S",852,"2012-05-30 00:00:00"
202,"Full-Finger Gloves, M",862,"2012-10-30 00:00:00"
201,"Women's Mountain Shorts, S",867,"2014-03-01 00:00:00"
201,"AWC Logo Cap",712,"2013-08-30 00:00:00"
200,"Women's Tights, L",854,"2012-07-31 00:00:00"
200,"Racing Socks, M",874,"2013-06-30 00:00:00"
199,"Classic Vest, M",865,"2013-09-30 00:00:00"
197,"Sport-100 Helmet, Red",707,"2012-07-31 00:00:00"
197,"Sport-100 Helmet, Black",708,"2012-07-31 00:00:00"
196,"Sport-100 Helmet, Black",708,"2013-09-30 00:00:00"
195,"Sport-100 Helmet, Blue",711,"2013-09-30 00:00:00"
195,"Hydration Pack - 70 oz.",880,"2014-03-31 00:00:00"
195,"Short-Sleeve Classic Jersey, L",883,"2014-03-31 00:00:00"
193,"Hydration Pack - 70 oz.",880,"2013-09-30 00:00:00"
191,"Short-Sleeve Classic Jersey, L",883,"2013-08-30 00:00:00"
191,"Full-Finger Gloves, M",862,"2013-04-30 00:00:00"
191,"Classic Vest, S",864,"2013-11-30 00:00:00"
191,"Women's Mountain Shorts, S",867,"2014-01-29 00:00:00"
191,"Sport-100 Helmet, Red",707,"2013-09-30 00:00:00"
190,"Short-Sleeve Classic Jersey, L",883,"2014-03-01 00:00:00"
190,"Half-Finger Gloves, S",858,"2013-06-30 00:00:00"
190,"Half-Finger Gloves, M",859,"2013-05-30 00:00:00"
190,"Half-Finger Gloves, M",859,"2013-09-30 00:00:00"
189,"Women's Tights, L",854,"2012-05-30 00:00:00"
189,"Classic Vest, M",865,"2014-03-31 00:00:00"
189,"Women's Mountain Shorts, S",867,"2013-08-30 00:00:00"
189,"Hydration Pack - 70 oz.",880,"2013-10-30 00:00:00"
188,"Hitch Rack - 4-Bike",876,"2013-08-30 00:00:00"
188,"Sport-100 Helmet, Blue",711,"2012-07-31 00:00:00"
187,"Full-Finger Gloves, M",862,"2012-05-30 00:00:00"
187,"Classic Vest, M",865,"2013-10-30 00:00:00"
186,"Water Bottle - 30 oz.",870,"2014-03-01 00:00:00"
185,"Bike Wash - Dissolver",877,"2014-03-01 00:00:00"
185,"Sport-100 Helmet, Red",707,"2014-03-31 00:00:00"
184,"Sport-100 Helmet, Red",707,"2013-10-30 00:00:00"
183,"Women's Tights, S",852,"2013-03-30 00:00:00"
183,"Short-Sleeve Classic Jersey, XL",884,"2013-11-30 00:00:00"
182,"AWC Logo Cap",712,"2013-04-30 00:00:00"
181,"Long-Sleeve Logo Jersey, L",715,"2013-08-30 00:00:00"
180,"Long-Sleeve Logo Jersey, L",715,"2013-02-28 00:00:00"
180,"Racing Socks, L",875,"2013-10-30 00:00:00"
180,"Hitch Rack - 4-Bike",876,"2014-03-01 00:00:00"
180,"Short-Sleeve Classic Jersey, XL",884,"2013-12-31 00:00:00"
179,"Half-Finger Gloves, M",859,"2013-08-30 00:00:00"
178,"Women's Mountain Shorts, S",867,"2013-05-30 00:00:00"
178,"Sport-100 Helmet, Red",707,"2014-03-01 00:00:00"
178,"Sport-100 Helmet, Blue",711,"2012-09-30 00:00:00"
177,"Sport-100 Helmet, Blue",711,"2012-05-30 00:00:00"
177,"Men's Bib-Shorts, M",856,"2013-03-30 00:00:00"
176,"Women's Tights, S",852,"2012-10-30 00:00:00"
176,"Full-Finger Gloves, L",863,"2012-11-30 00:00:00"
176,"Sport-100 Helmet, Red",707,"2014-05-01 00:00:00"
176,"Racing Socks, L",875,"2013-05-30 00:00:00"
176,"Short-Sleeve Classic Jersey, S",881,"2013-05-30 00:00:00"
174,"Classic Vest, M",865,"2014-05-01 00:00:00"
173,Minipump,844,"2012-06-30 00:00:00"
173,"Women's Tights, L",854,"2012-08-30 00:00:00"
172,"Bike Wash - Dissolver",877,"2013-08-30 00:00:00"
169,"Half-Finger Gloves, M",859,"2013-10-30 00:00:00"
169,"Road-650 Red, 44",762,"2012-06-30 00:00:00"
168,"Road-650 Black, 52",770,"2012-06-30 00:00:00"
168,"Hydration Pack - 70 oz.",880,"2013-05-30 00:00:00"
168,"Cable Lock",843,"2012-06-30 00:00:00"
168,"Women's Tights, L",854,"2012-10-30 00:00:00"
167,"Long-Sleeve Logo Jersey, L",715,"2013-04-30 00:00:00"
166,"Sport-100 Helmet, Black",708,"2013-08-30 00:00:00"
165,"Long-Sleeve Logo Jersey, M",714,"2013-05-30 00:00:00"
164,"Half-Finger Gloves, S",858,"2013-07-31 00:00:00"
163,"Sport-100 Helmet, Blue",711,"2013-03-30 00:00:00"
162,"Sport-100 Helmet, Red",707,"2012-05-30 00:00:00"
162,"Long-Sleeve Logo Jersey, XL",716,"2013-07-31 00:00:00"
162,"Women's Tights, S",852,"2013-04-30 00:00:00"
161,"Sport-100 Helmet, Blue",711,"2014-03-01 00:00:00"
161,"Long-Sleeve Logo Jersey, XL",716,"2012-06-30 00:00:00"
161,"Hydration Pack - 70 oz.",880,"2013-08-30 00:00:00"
160,"Full-Finger Gloves, M",862,"2012-12-31 00:00:00"
160,"Sport-100 Helmet, Black",708,"2013-03-30 00:00:00"
159,"Road-650 Black, 52",770,"2012-09-30 00:00:00"
159,"Women's Tights, S",852,"2012-08-30 00:00:00"
159,"Full-Finger Gloves, L",863,"2013-01-28 00:00:00"
158,"Racing Socks, L",875,"2013-12-31 00:00:00"
157,"Sport-100 Helmet, Red",707,"2013-08-30 00:00:00"
157,"Sport-100 Helmet, Black",708,"2014-03-01 00:00:00"
157,"AWC Logo Cap",712,"2014-01-29 00:00:00"
156,Chain,952,"2013-07-31 00:00:00"
155,"Half-Finger Gloves, M",859,"2014-05-01 00:00:00"
155,"Women's Mountain Shorts, L",869,"2013-12-31 00:00:00"
154,"Classic Vest, M",865,"2013-08-30 00:00:00"
154,"AWC Logo Cap",712,"2012-08-30 00:00:00"
154,"Long-Sleeve Logo Jersey, L",715,"2012-08-30 00:00:00"
153,"Sport-100 Helmet, Black",708,"2012-05-30 00:00:00"
153,"Sport-100 Helmet, Black",708,"2012-09-30 00:00:00"
153,"Road-650 Black, 52",770,"2013-03-30 00:00:00"
153,"Mountain-200 Black, 38",782,"2013-06-30 00:00:00"
153,"Women's Tights, L",854,"2013-02-28 00:00:00"
153,"Racing Socks, M",874,"2014-03-31 00:00:00"
152,"Men's Bib-Shorts, M",856,"2012-05-30 00:00:00"
151,"Sport-100 Helmet, Blue",711,"2013-08-30 00:00:00"
151,"Racing Socks, M",874,"2013-09-30 00:00:00"
150,"Men's Sports Shorts, M",849,"2012-06-30 00:00:00"
150,"Road-650 Red, 60",760,"2012-07-31 00:00:00"
150,"Road-650 Black, 52",770,"2012-05-30 00:00:00"
149,"Long-Sleeve Logo Jersey, L",715,"2014-01-29 00:00:00"
149,"Long-Sleeve Logo Jersey, XL",716,"2013-06-30 00:00:00"
149,"Front Derailleur",945,"2013-07-31 00:00:00"
149,"Cable Lock",843,"2012-07-31 00:00:00"
148,"Sport-100 Helmet, Blue",711,"2013-04-30 00:00:00"
148,"Long-Sleeve Logo Jersey, M",714,"2013-10-30 00:00:00"
148,"Road-650 Red, 60",760,"2012-06-30 00:00:00"
147,"Sport-100 Helmet, Red",707,"2012-09-30 00:00:00"
146,"Sport-100 Helmet, Red",707,"2013-03-30 00:00:00"
146,"Sport-100 Helmet, Red",707,"2013-04-30 00:00:00"
146,"AWC Logo Cap",712,"2013-02-28 00:00:00"
146,"Full-Finger Gloves, M",862,"2013-02-28 00:00:00"
146,"Racing Socks, L",875,"2013-08-30 00:00:00"
145,"Hitch Rack - 4-Bike",876,"2013-12-31 00:00:00"
145,"Mountain-200 Black, 42",783,"2012-09-30 00:00:00"
144,"Mountain-200 Black, 38",782,"2013-07-31 00:00:00"
144,"Half-Finger Gloves, S",858,"2013-05-30 00:00:00"
144,"Full-Finger Gloves, M",862,"2012-08-30 00:00:00"
144,"Long-Sleeve Logo Jersey, XL",716,"2012-05-30 00:00:00"
144,"Road-650 Red, 48",763,"2012-06-30 00:00:00"
143,"Sport-100 Helmet, Blue",711,"2012-10-30 00:00:00"
143,"Long-Sleeve Logo Jersey, L",715,"2012-12-31 00:00:00"
143,"Road-650 Red, 60",760,"2012-12-31 00:00:00"
142,"Men's Sports Shorts, M",849,"2012-05-30 00:00:00"
142,"Women's Mountain Shorts, S",867,"2013-11-30 00:00:00"
141,"Sport-100 Helmet, Blue",711,"2013-02-28 00:00:00"
141,"Road-650 Red, 44",762,"2012-09-30 00:00:00"
141,"Water Bottle - 30 oz.",870,"2013-11-30 00:00:00"
141,"Short-Sleeve Classic Jersey, S",881,"2013-10-30 00:00:00"
140,"Racing Socks, M",874,"2013-07-31 00:00:00"
140,"Road-650 Red, 60",760,"2013-03-30 00:00:00"
140,"Touring-1000 Yellow, 60",957,"2013-06-30 00:00:00"
140,"Road-350-W Yellow, 48",976,"2013-06-30 00:00:00"
140,"Road-350-W Yellow, 48",976,"2013-07-31 00:00:00"
139,"Front Brakes",948,"2013-07-31 00:00:00"
139,"Road-350-W Yellow, 40",973,"2013-06-30 00:00:00"
139,"Men's Bib-Shorts, S",855,"2012-06-30 00:00:00"
139,"Sport-100 Helmet, Black",708,"2013-02-28 00:00:00"
139,"Road-650 Red, 48",763,"2012-09-30 00:00:00"
138,"Long-Sleeve Logo Jersey, XL",716,"2013-05-30 00:00:00"
138,"Road-750 Black, 48",998,"2013-06-30 00:00:00"
138,"Hitch Rack - 4-Bike",876,"2014-01-29 00:00:00"
137,"Road-350-W Yellow, 48",976,"2014-03-31 00:00:00"
137,"Road-650 Black, 58",765,"2012-06-30 00:00:00"
137,"Mountain-200 Silver, 46",781,"2012-06-30 00:00:00"
137,"Mountain-200 Black, 38",782,"2012-09-30 00:00:00"
137,Minipump,844,"2012-07-31 00:00:00"
137,"Half-Finger Gloves, M",859,"2014-03-31 00:00:00"
136,"AWC Logo Cap",712,"2011-10-01 00:00:00"
135,"Sport-100 Helmet, Black",708,"2012-10-30 00:00:00"
135,"Mountain Bike Socks, M",709,"2012-03-30 00:00:00"
135,"AWC Logo Cap",712,"2012-12-31 00:00:00"
135,"Long-Sleeve Logo Jersey, L",715,"2012-03-30 00:00:00"
135,"Long-Sleeve Logo Jersey, XL",716,"2012-07-31 00:00:00"
135,"Road-650 Red, 60",760,"2012-09-30 00:00:00"
135,"Road-650 Red, 44",762,"2012-05-30 00:00:00"
134,"Sport-100 Helmet, Black",708,"2012-08-30 00:00:00"
134,"Mountain Bike Socks, M",709,"2011-07-01 00:00:00"
134,"Road-350-W Yellow, 48",976,"2013-09-30 00:00:00"
134,"Water Bottle - 30 oz.",870,"2013-12-31 00:00:00"
134,"Racing Socks, L",875,"2014-01-29 00:00:00"
134,"Mountain-200 Black, 42",783,"2012-07-31 00:00:00"
133,"Mountain-200 Black, 38",782,"2013-09-30 00:00:00"
133,"ML Mountain Frame - Black, 48",832,"2012-06-30 00:00:00"
133,"Half-Finger Gloves, M",859,"2014-03-01 00:00:00"
133,"Touring-1000 Blue, 60",969,"2013-06-30 00:00:00"
132,"Road-350-W Yellow, 48",976,"2013-10-30 00:00:00"
132,"Mountain-200 Black, 38",782,"2012-06-30 00:00:00"
132,"Men's Sports Shorts, M",849,"2012-07-31 00:00:00"
132,"Men's Bib-Shorts, M",856,"2012-10-30 00:00:00"
132,"Classic Vest, M",865,"2014-03-01 00:00:00"
132,"Short-Sleeve Classic Jersey, S",881,"2014-05-01 00:00:00"
131,"Road-650 Red, 62",761,"2012-06-30 00:00:00"
131,"Men's Bib-Shorts, M",856,"2013-04-30 00:00:00"
130,"Mountain-200 Black, 38",782,"2012-07-31 00:00:00"
130,"Half-Finger Gloves, M",859,"2013-03-30 00:00:00"
130,"Long-Sleeve Logo Jersey, L",715,"2013-11-30 00:00:00"
130,"Road-650 Red, 60",760,"2012-05-30 00:00:00"
130,"Road-650 Red, 48",763,"2012-05-30 00:00:00"
130,"Mountain-200 Silver, 42",780,"2012-06-30 00:00:00"
129,"LL Road Frame - Red, 44",725,"2012-06-30 00:00:00"
129,"Half-Finger Gloves, M",859,"2013-04-30 00:00:00"
128,"Half-Finger Gloves, M",859,"2012-06-30 00:00:00"
128,"Racing Socks, M",874,"2013-10-30 00:00:00"
128,"Short-Sleeve Classic Jersey, L",883,"2014-01-29 00:00:00"
128,"Road-350-W Yellow, 48",976,"2013-05-30 00:00:00"
128,"Sport-100 Helmet, Blue",711,"2012-08-30 00:00:00"
128,"Long-Sleeve Logo Jersey, M",714,"2012-05-30 00:00:00"
128,"Road-650 Red, 44",762,"2013-03-30 00:00:00"
127,"Sport-100 Helmet, Black",708,"2013-04-30 00:00:00"
127,"AWC Logo Cap",712,"2013-12-31 00:00:00"
127,"Road-650 Red, 62",761,"2013-03-30 00:00:00"
127,"LL Road Rear Wheel",826,"2012-06-30 00:00:00"
127,"Women's Tights, S",852,"2013-02-28 00:00:00"
126,"Long-Sleeve Logo Jersey, L",715,"2011-10-01 00:00:00"
126,"Road-650 Red, 44",762,"2012-07-31 00:00:00"
126,"Hydration Pack - 70 oz.",880,"2014-03-01 00:00:00"
126,"Short-Sleeve Classic Jersey, S",881,"2013-08-30 00:00:00"
125,"Water Bottle - 30 oz.",870,"2014-01-29 00:00:00"
125,"AWC Logo Cap",712,"2012-03-30 00:00:00"
125,"AWC Logo Cap",712,"2013-11-30 00:00:00"
125,"Long-Sleeve Logo Jersey, M",714,"2012-07-31 00:00:00"
125,"ML Road Frame-W - Yellow, 44",835,"2013-06-30 00:00:00"
125,Minipump,844,"2013-03-30 00:00:00"
125,"Men's Sports Shorts, M",849,"2012-10-30 00:00:00"
124,"LL Mountain Front Wheel",815,"2012-06-30 00:00:00"
124,"Men's Sports Shorts, M",849,"2012-09-30 00:00:00"
124,"AWC Logo Cap",712,"2013-01-28 00:00:00"
124,"Road-650 Red, 60",760,"2012-10-30 00:00:00"
124,"Road-650 Black, 58",765,"2013-03-30 00:00:00"
124,"Road-650 Black, 52",770,"2012-12-31 00:00:00"
123,"Mountain Bike Socks, M",709,"2011-10-01 00:00:00"
123,"Long-Sleeve Logo Jersey, L",715,"2013-12-31 00:00:00"
123,"ML Road Frame-W - Yellow, 44",835,"2012-06-30 00:00:00"
122,"Mountain-200 Black, 38",782,"2013-03-30 00:00:00"
122,"Mountain-200 Black, 38",782,"2014-05-01 00:00:00"
122,Minipump,844,"2012-05-30 00:00:00"
122,"Men's Sports Shorts, M",849,"2013-03-30 00:00:00"
122,"Long-Sleeve Logo Jersey, M",714,"2013-03-30 00:00:00"
122,"Road-650 Black, 58",765,"2012-09-30 00:00:00"
121,"Sport-100 Helmet, Black",708,"2014-01-29 00:00:00"
121,"Road-650 Red, 44",762,"2012-10-30 00:00:00"
121,"Road-650 Red, 44",762,"2013-02-28 00:00:00"
121,"Road-650 Red, 48",763,"2013-03-30 00:00:00"
121,"Mountain-200 Black, 42",783,"2012-06-30 00:00:00"
120,"Mountain-200 Black, 38",782,"2012-12-31 00:00:00"
120,"HL Mountain Rear Wheel",825,"2012-06-30 00:00:00"
120,"Men's Bib-Shorts, S",855,"2012-07-31 00:00:00"
120,"Men's Bib-Shorts, M",856,"2012-09-30 00:00:00"
120,"Women's Mountain Shorts, L",869,"2013-11-30 00:00:00"
120,"Road-650 Black, 58",765,"2012-12-31 00:00:00"
120,"Touring-2000 Blue, 54",972,"2013-06-30 00:00:00"
120,"Road-350-W Yellow, 40",973,"2014-03-31 00:00:00"
119,"LL Road Pedal",938,"2013-06-30 00:00:00"
119,"ML Mountain Frame - Black, 48",832,"2012-07-31 00:00:00"
119,"Women's Mountain Shorts, M",868,"2013-07-31 00:00:00"
119,"Bike Wash - Dissolver",877,"2013-11-30 00:00:00"
119,"Short-Sleeve Classic Jersey, S",881,"2013-09-30 00:00:00"
119,"Long-Sleeve Logo Jersey, M",714,"2014-03-01 00:00:00"
118,"Long-Sleeve Logo Jersey, M",714,"2013-09-30 00:00:00"
118,"Road-650 Red, 48",763,"2012-12-31 00:00:00"
118,"ML Mountain Rear Wheel",824,"2012-06-30 00:00:00"
118,"Road-750 Black, 48",998,"2013-05-30 00:00:00"
117,"Long-Sleeve Logo Jersey, M",714,"2012-10-30 00:00:00"
117,"Hitch Rack - 4-Bike",876,"2013-11-30 00:00:00"
117,"ML Mountain Frame-W - Silver, 40",904,"2013-06-30 00:00:00"
116,"HL Mountain Pedal",937,"2013-07-31 00:00:00"
116,"Sport-100 Helmet, Black",708,"2013-12-31 00:00:00"
116,"Long-Sleeve Logo Jersey, M",714,"2014-03-31 00:00:00"
116,"LL Road Frame - Black, 52",738,"2012-06-30 00:00:00"
115,"Long-Sleeve Logo Jersey, M",714,"2012-09-30 00:00:00"
115,"Long-Sleeve Logo Jersey, XL",716,"2012-09-30 00:00:00"
115,"ML Mountain Frame-W - Silver, 40",904,"2013-07-31 00:00:00"
115,"Mountain-200 Black, 38",782,"2014-03-31 00:00:00"
114,"ML Mountain Handlebars",809,"2013-06-30 00:00:00"
114,"ML Mountain Handlebars",809,"2013-07-31 00:00:00"
114,Minipump,844,"2012-09-30 00:00:00"
114,"Half-Finger Gloves, M",859,"2012-07-31 00:00:00"
114,"Short-Sleeve Classic Jersey, L",883,"2013-11-30 00:00:00"
114,"AWC Logo Cap",712,"2012-04-30 00:00:00"
114,"Long-Sleeve Logo Jersey, L",715,"2011-07-01 00:00:00"
114,"Road-650 Red, 62",761,"2012-09-30 00:00:00"
114,"Road-650 Black, 58",765,"2012-05-30 00:00:00"
